rate_date,from_currency,to_currency,exchange_rate
2026-01-01,USD,INR,87.3334
2026-01-02,USD,INR,85.4913
2026-01-03,USD,INR,85.9331
2026-01-04,USD,INR,86.7361
2026-01-05,USD,INR,87.7867
2026-01-06,USD,INR,86.7274
2026-01-07,USD,INR,87.7241
2026-01-08,USD,INR,86.1259
2026-01-09,USD,INR,87.8244
2026-01-10,USD,INR,85.595
2026-01-11,USD,INR,86.7763
2026-01-12,USD,INR,87.4917
2026-01-13,USD,INR,85.7285
2026-01-14,USD,INR,87.0916
2026-01-15,USD,INR,85.9047
2026-01-16,USD,INR,87.0528
2026-01-17,USD,INR,87.4166
2026-01-18,USD,INR,87.3887
2026-01-19,USD,INR,86.6978
2026-01-20,USD,INR,85.1232
2026-01-21,USD,INR,86.5982
2026-01-22,USD,INR,86.9846
2026-01-23,USD,INR,85.2069
2026-01-24,USD,INR,86.9426
2026-01-25,USD,INR,85.038
2026-01-26,USD,INR,86.2602
2026-01-27,USD,INR,86.4706
2026-01-28,USD,INR,86.3006
2026-01-29,USD,INR,86.0866
2026-01-30,USD,INR,87.6747
2026-01-31,USD,INR,86.3792
2026-02-01,USD,INR,85.459
2026-02-02,USD,INR,85.5284
2026-02-03,USD,INR,86.5652
2026-02-04,USD,INR,86.9514
2026-02-05,USD,INR,86.8477
2026-02-06,USD,INR,87.7589
2026-02-07,USD,INR,87.3239
2026-02-08,USD,INR,86.3946
2026-02-09,USD,INR,87.4772
2026-02-10,USD,INR,86.7774
2026-02-11,USD,INR,85.9669
2026-02-12,USD,INR,85.7365
2026-02-13,USD,INR,87.8039
2026-02-14,USD,INR,85.8368
2026-02-15,USD,INR,86.3524
2026-02-16,USD,INR,87.2514
2026-02-17,USD,INR,86.7095
2026-02-18,USD,INR,87.0046
2026-02-19,USD,INR,86.0092
2026-02-20,USD,INR,86.4829
2026-02-21,USD,INR,85.975
2026-02-22,USD,INR,86.4626
2026-02-23,USD,INR,86.0645
2026-02-24,USD,INR,85.7751
2026-02-25,USD,INR,85.839
2026-02-26,USD,INR,86.7885
2026-02-27,USD,INR,87.6403
2026-02-28,USD,INR,86.6674
2026-03-01,USD,INR,86.5499
2026-03-02,USD,INR,85.5732
2026-03-03,USD,INR,85.7241
2026-03-04,USD,INR,86.2193
2026-03-05,USD,INR,86.6655
2026-03-06,USD,INR,85.721
2026-03-07,USD,INR,86.4283
2026-03-08,USD,INR,87.1355
2026-03-09,USD,INR,86.3445
2026-03-10,USD,INR,85.0517
2026-03-11,USD,INR,85.8827
2026-03-12,USD,INR,86.2132
2026-03-13,USD,INR,85.7299
2026-03-14,USD,INR,86.9919
2026-03-15,USD,INR,86.1071
2026-03-16,USD,INR,86.6604
2026-03-17,USD,INR,86.0313
2026-03-18,USD,INR,87.9899
2026-03-19,USD,INR,86.6512
2026-03-20,USD,INR,86.0554
2026-03-21,USD,INR,86.3612
2026-03-22,USD,INR,85.9199
2026-03-23,USD,INR,85.6916
2026-03-24,USD,INR,87.1639
2026-03-25,USD,INR,85.9466
2026-03-26,USD,INR,87.2286
2026-03-27,USD,INR,87.8526
2026-03-28,USD,INR,87.0705
2026-03-29,USD,INR,85.5746
2026-03-30,USD,INR,87.2158
2026-03-31,USD,INR,85.8295
