shipment_id,po_number,ship_date,delivery_date,promised_delivery_date,carrier,cost_inr
SHIP-001,PO-003,2026-03-26,2026-03-25,2026-04-04,Carrier A,32554
SHIP-002,PO-045,2026-03-04,2026-03-13,2026-03-15,Carrier C,24723
SHIP-003,PO-013,2026-01-29,2026-01-18,2026-02-06,Carrier B,23803
SHIP-004,PO-039,2026-02-05,2026-02-13,2026-01-26,Carrier C,47906
SHIP-005,PO-038,2026-01-20,2026-01-29,2026-01-30,Carrier B,49277
SHIP-006,PO-044,2026-02-12,2026-02-22,2026-02-23,Carrier C,16120
SHIP-007,PO-005,2026-01-20,2026-01-26,2026-01-28,Carrier C,46480
SHIP-008,PO-047,2026-01-22,2026-01-29,2026-01-27,Carrier A,49092
SHIP-009,PO-010,2026-01-13,2026-01-18,2026-01-17,Carrier A,6600
SHIP-010,PO-022,2026-01-05,2026-01-10,2026-01-11,Carrier C,9772
SHIP-011,PO-050,2026-03-02,2026-03-10,2026-03-12,Carrier A,30164
SHIP-012,PO-017,2026-02-01,2026-02-09,2026-02-08,Carrier A,47995
SHIP-013,PO-007,2026-01-20,2026-01-23,2026-01-24,Carrier A,16526
SHIP-014,PO-025,2026-02-01,2026-02-10,2026-02-08,Carrier C,21331
SHIP-015,PO-035,2026-02-04,2026-02-13,2026-02-12,Carrier B,48750
SHIP-016,PO-008,2026-02-09,2026-02-19,2026-02-21,Carrier B,34004
SHIP-017,PO-011,2026-02-09,2026-02-19,2026-02-20,Carrier C,34223
SHIP-018,PO-049,2026-03-02,2026-03-11,2026-03-12,Carrier B,21203
SHIP-019,PO-019,2026-02-10,2026-02-20,2026-02-21,Carrier C,20679
SHIP-020,PO-012,2026-02-07,2026-02-16,2026-02-14,Carrier C,23725
SHIP-021,PO-024,2026-02-15,2026-02-21,2026-02-21,Carrier B,40399
SHIP-022,PO-040,2026-03-07,2026-03-11,2026-03-10,Carrier A,30102
SHIP-023,PO-028,2026-01-18,2026-01-23,2026-01-21,Carrier B,31712
SHIP-024,PO-048,2026-02-13,2026-02-23,2026-02-24,Carrier B,9080
SHIP-025,PO-031,2026-02-12,2026-02-20,2026-02-21,Carrier C,6280
SHIP-026,PO-023,2026-03-17,2026-03-25,2026-03-26,Carrier A,28052
SHIP-027,PO-027,2026-02-25,2026-03-05,2026-03-06,Carrier C,40791
SHIP-028,PO-006,2026-02-04,2026-02-09,2026-02-10,Carrier A,22887
SHIP-029,PO-009,2026-03-27,2026-04-05,2026-04-03,Carrier B,27028
SHIP-030,PO-004,2026-02-06,2026-02-10,2026-02-11,Carrier A,45780
SHIP-031,PO-014,2026-03-22,2026-03-24,2026-03-25,Carrier C,41987
SHIP-032,PO-032,2026-03-18,2026-03-21,2026-03-22,Carrier A,35257
SHIP-033,PO-037,2026-01-16,2026-01-18,2026-01-18,Carrier B,26453
SHIP-034,PO-020,2026-01-20,2026-01-29,2026-01-29,Carrier B,29846
SHIP-035,PO-043,2026-01-20,2026-01-28,2026-01-28,Carrier A,35822
SHIP-036,PO-026,2026-01-07,2026-01-17,2026-01-15,Carrier B,19694
SHIP-037,PO-034,2026-03-07,2026-03-09,2026-03-07,Carrier A,18065
SHIP-038,PO-002,2026-03-17,2026-03-21,2026-03-20,Carrier A,36035
SHIP-039,PO-015,2026-03-03,2026-03-08,2026-03-09,Carrier C,21793
SHIP-040,PO-036,2026-02-05,2026-02-09,2026-02-11,Carrier C,12506
