mfg_order_id,order_ref,production_date,materials_used_kg,production_hours,batch_id
MO-001,PO-028,2026-01-16,172,24,BATCH-JAN-001
MO-002,PO-045,2026-03-05,117,27,BATCH-MAR-002
MO-003,PO-047,2026-01-17,211,12,BATCH-JAN-003
MO-004,PO-036,2026-02-02,284,47,BATCH-FEB-004
MO-005,PO-043,2026-01-17,87,42,BATCH-JAN-005
MO-006,PO-032,2026-03-17,309,24,BATCH-MAR-006
MO-007,PO-010,2026-01-10,228,12,BATCH-JAN-007
MO-008,PO-013,2026-01-25,239,26,BATCH-JAN-008
MO-009,PO-019,2026-02-07,274,42,BATCH-FEB-009
MO-010,PO-014,2026-03-17,363,41,BATCH-MAR-010
MO-011,PO-004,2026-02-02,391,43,BATCH-FEB-011
MO-012,PO-038,2026-01-08,389,14,BATCH-JAN-012
MO-013,PO-035,2026-02-03,185,15,BATCH-FEB-013
MO-014,PO-040,2026-03-06,430,43,BATCH-MAR-014
MO-015,PO-021,2026-02-18,189,26,BATCH-FEB-015
MO-016,PO-037,2026-01-14,417,29,BATCH-JAN-016
MO-017,PO-039,2026-02-03,401,48,BATCH-FEB-017
MO-018,PO-031,2026-02-10,308,39,BATCH-FEB-018
MO-019,PO-011,2026-02-04,483,11,BATCH-FEB-019
MO-020,PO-002,2026-03-16,374,35,BATCH-MAR-020
MO-021,PO-017,2026-01-28,72,8,BATCH-JAN-021
MO-022,PO-003,2026-03-23,444,16,BATCH-MAR-022
MO-023,PO-050,2026-02-26,132,36,BATCH-FEB-023
MO-024,PO-006,2026-01-30,337,8,BATCH-JAN-024
MO-025,PO-029,2026-03-08,88,17,BATCH-MAR-025
MO-026,PO-020,2026-01-18,477,31,BATCH-JAN-026
MO-027,PO-026,2026-01-06,270,16,BATCH-JAN-027
MO-028,PO-022,2026-01-04,207,31,BATCH-JAN-028
MO-029,PO-008,2026-02-04,233,21,BATCH-FEB-029
MO-030,PO-046,2026-03-04,391,14,BATCH-MAR-030
MO-031,PO-034,2026-03-06,449,43,BATCH-MAR-031
MO-032,PO-042,2026-03-03,367,17,BATCH-MAR-032
MO-033,PO-023,2026-03-12,492,18,BATCH-MAR-033
MO-034,PO-033,2026-02-14,261,9,BATCH-FEB-034
MO-035,PO-024,2026-02-13,427,29,BATCH-FEB-035
MO-036,PO-007,2026-01-19,460,23,BATCH-JAN-036
MO-037,PO-049,2026-02-28,131,14,BATCH-FEB-037
MO-038,PO-044,2026-02-10,496,10,BATCH-FEB-038
MO-039,PO-048,2026-02-10,163,20,BATCH-FEB-039
MO-040,PO-009,2026-03-23,229,27,BATCH-MAR-040
MO-041,PO-027,2026-02-22,164,9,BATCH-FEB-041
MO-042,PO-005,2026-01-19,254,29,BATCH-JAN-042
MO-043,PO-025,2026-01-27,492,12,BATCH-JAN-043
MO-044,PO-012,2026-02-04,229,40,BATCH-FEB-044
MO-045,PO-015,2026-03-02,397,42,BATCH-MAR-045
